image	type	mode	inode	offset	size	crc32	path	target	extracted_path
image-0	symlink	120555	3221225591	0	0	0	usr/lib/libscreen.so	libscreen.so.1	
image-0	file	100555	3221225592	42102784	23237	36421eca	usr/lib/libWFD.so.1		image-0/usr/lib/libWFD.so.1
image-0	symlink	120555	3221225593	0	0	0	usr/lib/libWFD.so	libWFD.so.1	
image-0	file	100555	3221225594	42127360	63734	40478255	usr/lib/libswblit.so		image-0/usr/lib/libswblit.so
image-0	symlink	120555	3221225595	0	0	0	usr/lib/libswblit.so.1	libswblit.so	
image-0	file	100555	3221225596	42192896	46178	feebf999	usr/lib/libEGL.so.1		image-0/usr/lib/libEGL.so.1
image-0	symlink	120555	3221225597	0	0	0	usr/lib/libEGL.so	libEGL.so.1	
image-0	file	100555	3221225598	42242048	60677	6e62ea0b	usr/lib/libGLESv1_CM.so.1		image-0/usr/lib/libGLESv1_CM.so.1
image-0	symlink	120555	3221225599	0	0	0	usr/lib/libGLESv1_CM.so	libGLESv1_CM.so.1	
image-0	file	100555	3221225600	42303488	44223	d0348ed8	usr/lib/libGLESv2.so.1		image-0/usr/lib/libGLESv2.so.1
image-0	symlink	120555	3221225601	0	0	0	usr/lib/libGLESv2.so	libGLESv2.so.1	
image-0	file	100555	3221225602	42348544	459197	a35057ea	usr/lib/libsqlite3.so.1		image-0/usr/lib/libsqlite3.so.1
image-0	symlink	120555	3221225603	0	0	0	usr/lib/libsqlite3.so	libsqlite3.so.1	
image-0	file	100555	3221225604	42811392	15538	ec9f1871	usr/lib/libipod.so.1		image-0/usr/lib/libipod.so.1
image-0	symlink	120555	3221225605	0	0	0	usr/lib/libipod.so	libipod.so.1	
image-0	file	100555	3221225606	42827776	79938	52e4f626	usr/lib/libz.so.2		image-0/usr/lib/libz.so.2
image-0	symlink	120555	3221225607	0	0	0	usr/lib/libz.so	libz.so.2	
image-0	file	100555	3221225608	42909696	16850	d66a1eaf	usr/lib/libOpenVG.so.1		image-0/usr/lib/libOpenVG.so.1
image-0	symlink	120555	3221225609	0	0	0	usr/lib/libOpenVG.so	libOpenVG.so.1	
image-0	file	100555	3221225610	42930176	60677	78c4dca3	usr/lib/libGLESv1_CM.so.1		duplicates/image-0/237/usr/lib/libGLESv1_CM.so.1
image-0	file	101555	2147483789	42991616	24573	c0bab882	bin/update_nand_teb		image-0/bin/update_nand_teb
image-0	file	101555	2147483790	43016192	23756	ddabb83e	bin/login		image-0/bin/login
image-0	file	101555	2147483791	43040768	22099	d7553287	bin/ls		image-0/bin/ls
image-0	file	101555	2147483792	43065344	12882	f1d3fb90	bin/mv		image-0/bin/mv
image-0	file	101555	2147483793	43081728	11445	363cc1ed	bin/mkdir		image-0/bin/mkdir
image-0	file	101555	2147483794	43094016	7811	6518bcf4	bin/rmdir		image-0/bin/rmdir
image-0	file	101555	2147483795	43102208	9339	d300c0eb	bin/cat		image-0/bin/cat
image-0	file	101555	2147483796	43114496	125753	5e9bc19d	bin/more		image-0/bin/more
image-0	file	101555	2147483797	43241472	17863	d8daef17	bin/mount		image-0/bin/mount
image-0	file	101555	2147483798	43261952	79487	4d735dd4	bin/pidin		image-0/bin/pidin
image-0	file	101555	2147483799	43343872	8694	4b29ba32	bin/uname		image-0/bin/uname
image-0	file	101555	2147483800	43356160	7643	d0695a73	bin/umount		image-0/bin/umount
image-0	file	101555	2147483801	43364352	11247	50663c13	bin/sloginfo		image-0/bin/sloginfo
