image	type	mode	inode	offset	size	crc32	path	target	extracted_path
image-380000	file	100444	541	14278968	3720	64e26768	etc/dbus-1/system.conf		image-380000/etc/dbus-1/system.conf
image-380000	file	101777	295	14282688	59	6dfdc5ce	usr/bin/flashNetIPL		image-380000/usr/bin/flashNetIPL
image-380000	file	100555	3221225513	14282752	41368	b45c7465	lib/dll/devnp-shim.so		image-380000/lib/dll/devnp-shim.so
image-380000	file	100666	580	14324120	3684	13e014ec	usr/share/connmgr/StartIoFsMedia.lua		image-380000/usr/share/connmgr/StartIoFsMedia.lua
image-380000	file	100555	3221225514	14327808	61418	33adfcb1	lib/dll/devnp-ncm.so		image-380000/lib/dll/devnp-ncm.so
image-380000	file	100444	140	14389226	11	2a387f3e	usr/lib/libqdb.so		image-380000/usr/lib/libqdb.so
image-380000	file	100555	3221225515	14389248	73452	1790139	lib/dll/devnp-asix.so		image-380000/lib/dll/devnp-asix.so
image-380000	file	100444	467	14462700	276	c0cf0f94	usr/share/tracescopes/defaults/partial.hbtc		image-380000/usr/share/tracescopes/defaults/partial.hbtc
image-380000	file	100555	3221225516	14462976	69726	cec107b2	lib/dll/devn-rtl8150.so		image-380000/lib/dll/devn-rtl8150.so
image-380000	file	100444	560	14532702	3635	b99b85f9	etc/system/config/3proxy.cfg		image-380000/etc/system/config/3proxy.cfg
image-380000	file	100444	524	14536337	359	a42f313b	etc/keyvalue.sql		image-380000/etc/keyvalue.sql
image-380000	file	100555	3221225517	14536704	181758	302d2f8f	lib/dll/lsm-pf-v4.so		image-380000/lib/dll/lsm-pf-v4.so
image-380000	file	100666	382	14718462	2553	fd5f995c	usr/share/lua/service/bluetooth/internetConnection.lua		image-380000/usr/share/lua/service/bluetooth/internetConnection.lua
image-380000	file	100555	3221225518	14721024	13968	94a68210	lib/dll/img_codec_bmp.so		image-380000/lib/dll/img_codec_bmp.so
image-380000	file	100444	462	14734992	2396	9f64c2e1	etc/system/config/scaling.conf		image-380000/etc/system/config/scaling.conf
image-380000	file	100555	3221225519	14737408	9820	4176d968	lib/dll/img_codec_gif.so		image-380000/lib/dll/img_codec_gif.so
image-380000	file	100666	420	14747228	2468	f67f301	usr/share/lua/service/toyotamanager/powerinterrupt.lua		image-380000/usr/share/lua/service/toyotamanager/powerinterrupt.lua
image-380000	file	100555	3221225520	14749696	110641	54d7903a	lib/dll/img_codec_jpg.so		image-380000/lib/dll/img_codec_jpg.so
image-380000	file	100666	364	14860337	3387	bfb54a5a	usr/share/lua/mime.lua		image-380000/usr/share/lua/mime.lua
image-380000	file	100444	564	14863724	592	50b9d3f8	usr/etc/pmem.ini		image-380000/usr/etc/pmem.ini
image-380000	file	101777	297	14864316	59	e0b9d23e	usr/bin/flashNetMMC		image-380000/usr/bin/flashNetMMC
image-380000	file	100555	3221225521	14864384	11872	2512bba5	lib/dll/img_codec_pcx.so		image-380000/lib/dll/img_codec_pcx.so
image-380000	file	101777	309	14876256	398	49e4b92d	usr/bin/getkeyval		image-380000/usr/bin/getkeyval
